id,key,value,type
11681847,reviewed,no,tiger
11682066,highway,residential,unspecified
11682066,cfcc,A41,tiger
11682066,tlid,51663051,tiger
11682066,source,tiger_import_dch_v0.7_20071109,tiger
11682066,reviewed,no,tiger
11682066,separated,no,tiger
11682397,highway,service,unspecified
11682397,cfcc,A73,tiger
11682397,tlid,51689615,tiger
11682397,source,tiger_import_dch_v0.7_20071109,tiger
11682397,reviewed,no,tiger
11682644,highway,residential,unspecified
11682644,cfcc,A41,tiger
11682644,reviewed,no,tiger
11682828,highway,residential,unspecified
11682828,cfcc,A41,tiger
11682828,tlid,51716478,tiger
11682828,source,tiger_import_dch_v0.7_20071109,tiger
11682828,reviewed,no,tiger
11682828,separated,no,tiger
11683015,highway,service,unspecified
11683015,service,alley,unspecified
11683015,cfcc,A41,tiger
11683015,reviewed,no,tiger
11683269,highway,residential,unspecified
11683269,cfcc,A41,tiger
11683269,reviewed,no,tiger
11683510,lanes,1,unspecified
11683510,oneway,yes,unspecified
11683510,highway,motorway_link,unspecified
11683510,cfcc,A63,tiger
11683510,destination,Bridgeville,unspecified
11683510,ref,PA 50,destination
11683800,access,private,unspecified
11683800,highway,service,unspecified
11683800,cfcc,A74,tiger
11683800,tlid,51712413,tiger
11683800,source,tiger_import_dch_v0.7_20071109,tiger
11683800,reviewed,no,tiger
11683984,highway,service,unspecified
11683984,service,alley,unspecified
11683984,cfcc,A73,tiger
11683984,reviewed,no,tiger
11684190,name,South Water Street,unspecified
11684190,highway,residential,unspecified
11684190,cfcc,A41,tiger
11684190,reviewed,no,tiger
11684190,name_base,Water,tiger
11684190,name_type,St,tiger
11684190,name_direction_prefix,S,tiger
11684497,highway,service,unspecified
11684497,service,parking_aisle,unspecified
11684497,cfcc,A41,tiger
11684497,tlid,51703350,tiger
11684497,source,tiger_import_dch_v0.7_20071109,tiger
11684497,reviewed,no,tiger
11684497,separated,no,tiger
11684659,access,private,unspecified
11684659,highway,service,unspecified
11684659,cfcc,A74,tiger
11684659,tlid,51716665,tiger
11684659,source,tiger_import_dch_v0.7_20071109,tiger
11684659,reviewed,no,tiger
11684915,access,private,unspecified
11684915,highway,service,unspecified
11684915,cfcc,A74,tiger
11685321,access,private,unspecified
11685321,highway,service,unspecified
11685321,cfcc,A74,tiger
11685321,tlid,51712558,tiger
11685321,source,tiger_import_dch_v0.7_20071109,tiger
11685321,reviewed,no,tiger
11685697,name,Fairview Road,unspecified
11685697,highway,residential,unspecified
11685697,cfcc,A41,tiger
11685697,reviewed,no,tiger
11685697,zip_left,15221,tiger
11685697,name_base,Fairview,tiger
